0x1	Nop "nop"
0x9b	I32TruncF32S "i32.trunc_f32_s"
0x9c	I32TruncF32U "i32.trunc_f32_u"
0x9d	I32TruncF64S "i32.trunc_f64_s"
0x9e	I32TruncF64U "i32.trunc_f64_u"
0x9f	I64ExtendI32S "i64.extend_i32_s"
0xa0	I64ExtendI32U "i64.extend_i32_u"
0xa1	I64TruncF32S "i64.trunc_f32_s"
0xa2	I64TruncF32U "i64.trunc_f32_u"
0xa3	I64TruncF64S "i64.trunc_f64_s"
0xa4	I64TruncF64U "i64.trunc_f64_u"
0xa5	F32ConvertI32S "f32.convert_i32_s"
0xa6	F32ConvertI32U "f32.convert_i32_u"
0xa7	F32ConvertI64S "f32.convert_i64_s"
0xa8	F32ConvertI64U "f32.convert_i64_u"
0xa9	F32DemoteF64 "f32.demote_f64"
0xaa	F64ConvertI32S "f64.convert_i32_s"
0xab	F64ConvertI32U "f64.convert_i32_u"
0xac	F64ConvertI64S "f64.convert_i64_s"
0xad	F64ConvertI64U "f64.convert_i64_u"
0xae	F64PromoteF32 "f64.promote_f32"
0xaf	I32ReinterpretF32 "i32.reinterpret_f32"
0xb0	I64ReinterpretF64 "i64.reinterpret_f64"
0xb1	F32ReinterpretI32 "f32.reinterpret_i32"
0xb2	F64ReinterpretI64 "f64.reinterpret_i64"
0xb3	I32Extend8S "i32.extend8_s"
0xb4	I32Extend16S "i32.extend16_s"
0xb5	I64Extend8S "i64.extend8_s"
0xb6	I64Extend16S "i64.extend16_s"
0xb7	I64Extend32S "i64.extend32_s"
0xb8	InterpAlloca "alloca"
0xb9	InterpBrUnless "br_unless"
0xba	InterpCallHost "call_host"
0xbb	InterpData "data"
0xbc	InterpDropKeep "drop_keep"
0xbd	I32TruncSatF32S "i32.trunc_sat_f32_s"
0xbe	I32TruncSatF32U "i32.trunc_sat_f32_u"
0xbf	I32TruncSatF64S "i32.trunc_sat_f64_s"
0xc0	I32TruncSatF64U "i32.trunc_sat_f64_u"
0xc1	I64TruncSatF32S "i64.trunc_sat_f32_s"
0xc2	I64TruncSatF32U "i64.trunc_sat_f32_u"
0xc3	I64TruncSatF64S "i64.trunc_sat_f64_s"
0xc4	I64TruncSatF64U "i64.trunc_sat_f64_u"
0xc5	MemoryInit "memory.init"
0xc6	DataDrop "data.drop"
0xc7	MemoryCopy"memory.copy"
0xc8	MemoryFill "memory.fill"
0xc9	TableInit "table.init"
0xca	ElemDrop "elem.drop"
0xcb	TableCopy "table.copy"
0xcc	TableGet "table.get"
0xcd	TableSet "table.set"
0xce	TableGrow "table.grow"
0xcf	TableSize "table.size"
0xd0	RefNull "ref.null"
0xd1	RefIsNull "ref.is_null"
0xd2	RefFunc "ref.func"
0xd3	V128Load "v128.load"
0xd4	V128Store "v128.store"
0xd5	V128Const "v128.const"
0xd6	V8X16Shuffle "v8x16.shuffle"
0xd7	I8X16Splat "i8x16.splat"
0xd8	I8X16ExtractLaneS "i8x16.extract_lane_s"
0xd9	I8X16ExtractLaneU "i8x16.extract_lane_u"
0xda	I8X16ReplaceLane "i8x16.replace_lane"
0xdb	I16X8Splat "i16x8.splat"
0xdc	I16X8ExtractLaneS "i16x8.extract_lane_s"
0xdd	I16X8ExtractLaneU "i16x8.extract_lane_u"
0xde	I16X8ReplaceLane "i16x8.replace_lane"
0xdf	I32X4Splat "i32x4.splat"
0xe0	I32X4ExtractLane "i32x4.extract_lane"
0xe1	I32X4ReplaceLane "i32x4.replace_lane"
0xe2	I64X2Splat "i64x2.splat"
0xe3	I64X2ExtractLane "i64x2.extract_lane"
0xe4	I64X2ReplaceLane "i64x2.replace_lane"
0xe5	F32X4Splat "f32x4.splat"
0xe6	F32X4ExtractLane "f32x4.extract_lane"
0xe7	F32X4ReplaceLane "f32x4.replace_lane"
0xe8	F64X2Splat "f64x2.splat"
0xe9	F64X2ExtractLane "f64x2.extract_lane"
0xea	F64X2ReplaceLane "f64x2.replace_lane"
0xeb	I8X16Eq "i8x16.eq"
0xec	I8X16Ne "i8x16.ne"
0xed	I8X16LtS "i8x16.lt_s"
0xee	I8X16LtU "i8x16.lt_u"
0xef	I8X16GtS "i8x16.gt_s"
0xf0	I8X16GtU "i8x16.gt_u"
0xf1	I8X16LeS "i8x16.le_s"
0xf2	I8X16LeU "i8x16.le_u"
0xf3	I8X16GeS "i8x16.ge_s"
0xf4	I8X16GeU "i8x16.ge_u"
0xf5	I16X8Eq "i16x8.eq"
0xf6	I16X8Ne "i16x8.ne"
0xf7	I16X8LtS "i16x8.lt_s"
0xf8	I16X8LtU "i16x8.lt_u"
0xf9	I16X8GtS "i16x8.gt_s"
0xfa	I16X8GtU "i16x8.gt_u"
0xfb	I16X8LeS "i16x8.le_s"
0xfc	I16X8LeU "i16x8.le_u"
0xfd	I16X8GeS "i16x8.ge_s"
0xfe	I16X8GeU "i16x8.ge_u"
0xff	I32X4Eq "i32x4.eq"
0x100	I32X4Ne "i32x4.ne"
0x101	I32X4LtS "i32x4.lt_s"
0x102	I32X4LtU "i32x4.lt_u"
0x103	I32X4GtS "i32x4.gt_s"
0x104	I32X4GtU "i32x4.gt_u"
0x105	I32X4LeS "i32x4.le_s"
0x106	I32X4LeU "i32x4.le_u"
0x107	I32X4GeS "i32x4.ge_s"
0x108	I32X4GeU "i32x4.ge_u"
0x109	F32X4Eq "f32x4.eq"
0x10a	F32X4Ne "f32x4.ne"
0x10b	F32X4Lt "f32x4.lt"
0x10c	F32X4Gt "f32x4.gt"
0x10d	F32X4Le "f32x4.le"
0x10e	F32X4Ge "f32x4.ge"
0x10f	F64X2Eq "f64x2.eq"
0x110	F64X2Ne "f64x2.ne"
0x111	F64X2Lt "f64x2.lt"
0x112	F64X2Gt "f64x2.gt"
0x113	F64X2Le "f64x2.le"
0x114	F64X2Ge "f64x2.ge"
0x115	V128Not "v128.not"
0x116	V128And "v128.and"
0x117	V128Or "v128.or"
0x118	V128Xor "v128.xor"
0x119	V128BitSelect "v128.bitselect"
0x11a	I8X16Neg "i8x16.neg"
0x11b	I8X16AnyTrue "i8x16.any_true"
0x11c	I8X16AllTrue "i8x16.all_true"
0x11d	I8X16Shl "i8x16.shl"
0x11e	I8X16ShrS "i8x16.shr_s"
0x11f	I8X16ShrU "i8x16.shr_u"
0x120	I8X16Add "i8x16.add"
0x121	I8X16AddSaturateS "i8x16.add_saturate_s"
0x122	I8X16AddSaturateU "i8x16.add_saturate_u"
0x123	I8X16Sub "i8x16.sub"
0x124	I8X16SubSaturateS "i8x16.sub_saturate_s"
0x125	I8X16SubSaturateU "i8x16.sub_saturate_u"
0x126	I8X16Mul "i8x16.mul"
0x127	I16X8Neg "i16x8.neg"
0x128	I16X8AnyTrue "i16x8.any_true"
0x129	I16X8AllTrue "i16x8.all_true"
0x12a	I16X8Shl "i16x8.shl"
0x12b	I16X8ShrS "i16x8.shr_s"
0x12c	I16X8ShrU "i16x8.shr_u"
0x12d	I16X8Add "i16x8.add"
0x12e	I16X8AddSaturateS "i16x8.add_saturate_s"
0x12f	I16X8AddSaturateU "i16x8.add_saturate_u"
0x130	I16X8Sub "i16x8.sub"
0x131	I16X8SubSaturateS "i16x8.sub_saturate_s"
0x132	I16X8SubSaturateU "i16x8.sub_saturate_u"
0x133	I16X8Mul "i16x8.mul"
0x134	I32X4Neg "i32x4.neg"
0x135	I32X4AnyTrue "i32x4.any_true"
0x136	I32X4AllTrue "i32x4.all_true"
0x137	I32X4Shl "i32x4.shl"
0x138	I32X4ShrS "i32x4.shr_s"
0x139	I32X4ShrU "i32x4.shr_u"
0x13a	I32X4Add "i32x4.add"
0x13b	I32X4Sub "i32x4.sub"
0x13c	I32X4Mul "i32x4.mul"
0x13d	I64X2Neg "i64x2.neg"
0x13e	I64X2AnyTrue "i64x2.any_true"
0x13f	I64X2AllTrue "i64x2.all_true"
0x140	I64X2Shl "i64x2.shl"
0x141	I64X2ShrS "i64x2.shr_s"
0x142	I64X2ShrU "i64x2.shr_u"
0x143	I64X2Add "i64x2.add"
0x144	I64X2Sub "i64x2.sub"
0x145	F32X4Abs "f32x4.abs"
0x146	F32X4Neg "f32x4.neg"
0x147	F32X4Sqrt "f32x4.sqrt"
0x148	F32X4Add "f32x4.add"
0x149	F32X4Sub "f32x4.sub"
0x14a	F32X4Mul "f32x4.mul"
0x14b	F32X4Div "f32x4.div"
0x14c	F32X4Min "f32x4.min"
0x14d	F32X4Max "f32x4.max"
0x14e	F64X2Abs "f64x2.abs"
0x14f	F64X2Neg "f64x2.neg"
0x150	F64X2Sqrt "f64x2.sqrt"
0x151	F64X2Add "f64x2.add"
0x152	F64X2Sub "f64x2.sub"
0x153	F64X2Mul "f64x2.mul"
0x154	F64X2Div "f64x2.div"
0x155	F64X2Min "f64x2.min"
0x156	F64X2Max "f64x2.max"
0x157	I32X4TruncSatF32X4S"i32x4.trunc_sat_f32x4_s"
0x158	I32X4TruncSatF32X4U"i32x4.trunc_sat_f32x4_u"
0x159	I64X2TruncSatF64X2S"i64x2.trunc_sat_f64x2_s"
0x15a	I64X2TruncSatF64X2U"i64x2.trunc_sat_f64x2_u"
0x15b	F32X4ConvertI32X4S "f32x4.convert_i32x4_s"
0x15c	F32X4ConvertI32X4U "f32x4.convert_i32x4_u"
0x15d	F64X2ConvertI64X2S "f64x2.convert_i64x2_s"
0x15e	F64X2ConvertI64X2U "f64x2.convert_i64x2_u"
0x15f	AtomicNotify "atomic.notify"
0x160	I32AtomicWait "i32.atomic.wait"
0x161	I64AtomicWait "i64.atomic.wait"
0x162	I32AtomicLoad "i32.atomic.load"
0x163	I64AtomicLoad "i64.atomic.load"
0x164	I32AtomicLoad8U "i32.atomic.load8_u"
0x165	I32AtomicLoad16U "i32.atomic.load16_u"
0x166	I64AtomicLoad8U "i64.atomic.load8_u"
0x167	I64AtomicLoad16U "i64.atomic.load16_u"
0x168	I64AtomicLoad32U "i64.atomic.load32_u"
0x169	I32AtomicStore "i32.atomic.store"
0x16a	I64AtomicStore "i64.atomic.store"
0x16b	I32AtomicStore8 "i32.atomic.store8"
0x16c	I32AtomicStore16 "i32.atomic.store16"
0x16d	I64AtomicStore8 "i64.atomic.store8"
0x16e	I64AtomicStore16 "i64.atomic.store16"
0x16f	I64AtomicStore32 "i64.atomic.store32"
0x170	I32AtomicRmwAdd "i32.atomic.rmw.add"
0x171	I64AtomicRmwAdd "i64.atomic.rmw.add"
0x172	I32AtomicRmw8AddU "i32.atomic.rmw8.add_u"
0x173	I32AtomicRmw16AddU "i32.atomic.rmw16.add_u"
0x174	I64AtomicRmw8AddU "i64.atomic.rmw8.add_u"
0x175	I64AtomicRmw16AddU "i64.atomic.rmw16.add_u"
0x176	I64AtomicRmw32AddU "i64.atomic.rmw32.add_u"
0x177	I32AtomicRmwSub "i32.atomic.rmw.sub"
0x178	I64AtomicRmwSub "i64.atomic.rmw.sub"
0x179	I32AtomicRmw8SubU "i32.atomic.rmw8.sub_u"
0x17a	I32AtomicRmw16SubU "i32.atomic.rmw16.sub_u"
0x17b	I64AtomicRmw8SubU "i64.atomic.rmw8.sub_u"
0x17c	I64AtomicRmw16SubU "i64.atomic.rmw16.sub_u"
0x17d	I64AtomicRmw32SubU "i64.atomic.rmw32.sub_u"
0x17e	I32AtomicRmwAnd "i32.atomic.rmw.and"
0x17f	I64AtomicRmwAnd "i64.atomic.rmw.and"
0x180	I32AtomicRmw8AndU "i32.atomic.rmw8.and_u"
0x181	I32AtomicRmw16AndU "i32.atomic.rmw16.and_u"
0x182	I64AtomicRmw8AndU "i64.atomic.rmw8.and_u"
0x183	I64AtomicRmw16AndU "i64.atomic.rmw16.and_u"
0x184	I64AtomicRmw32AndU "i64.atomic.rmw32.and_u"
0x185	I32AtomicRmwOr "i32.atomic.rmw.or"
0x186	I64AtomicRmwOr "i64.atomic.rmw.or"
0x187	I32AtomicRmw8OrU "i32.atomic.rmw8.or_u"
0x188	I32AtomicRmw16OrU "i32.atomic.rmw16.or_u"
0x189	I64AtomicRmw8OrU "i64.atomic.rmw8.or_u"
0x18a	I64AtomicRmw16OrU "i64.atomic.rmw16.or_u"
0x18b	I64AtomicRmw32OrU "i64.atomic.rmw32.or_u"
0x18c	I32AtomicRmwXor "i32.atomic.rmw.xor"
0x18d	I64AtomicRmwXor "i64.atomic.rmw.xor"
0x18e	I32AtomicRmw8XorU "i32.atomic.rmw8.xor_u"
0x18f	I32AtomicRmw16XorU "i32.atomic.rmw16.xor_u"
0x190	I64AtomicRmw8XorU "i64.atomic.rmw8.xor_u"
0x191	I64AtomicRmw16XorU "i64.atomic.rmw16.xor_u"
0x192	I64AtomicRmw32XorU "i64.atomic.rmw32.xor_u"
0x193	I32AtomicRmwXchg "i32.atomic.rmw.xchg"
0x194	I64AtomicRmwXchg "i64.atomic.rmw.xchg"
0x195	I32AtomicRmw8XchgU "i32.atomic.rmw8.xchg_u"
0x196	I32AtomicRmw16XchgU "i32.atomic.rmw16.xchg_u"
0x197	I64AtomicRmw8XchgU "i64.atomic.rmw8.xchg_u"
0x198	I64AtomicRmw16XchgU "i64.atomic.rmw16.xchg_u"
0x199	I64AtomicRmw32XchgU "i64.atomic.rmw32.xchg_u"
0x19a	I32AtomicRmwCmpxchg "i32.atomic.rmw.cmpxchg"
0x19b	I64AtomicRmwCmpxchg "i64.atomic.rmw.cmpxchg"
0x19c	I32AtomicRmw8CmpxchgU "i32.atomic.rmw8.cmpxchg_u"
0x19d	I32AtomicRmw16CmpxchgU "i32.atomic.rmw16.cmpxchg_u"
0x19e	I64AtomicRmw8CmpxchgU "i64.atomic.rmw8.cmpxchg_u"
0x19f	I64AtomicRmw16CmpxchgU "i64.atomic.rmw16.cmpxchg_u"
0x1a0	I64AtomicRmw32CmpxchgU "i64.atomic.rmw32.cmpxchg_u"
